ball_x, ball_y, ball_vel_x, ball_vel_y, paddle_a_x, paddle_a_y, paddle_b_x, paddle_b_y,sigmoid
1020,1060,-10,10,25,1350,2535,1350,0.000000
1010,1070,-10,10,25,1350,2535,1350,0.000000
1010,1070,-10,10,25,1350,2535,1350,0.000000
1000,1080,-10,10,25,1350,2535,1350,0.000000
1000,1080,-10,10,25,1350,2535,1350,0.000000
990,1090,-10,10,25,1350,2535,1350,0.000000
990,1090,-10,10,25,1350,2535,1350,0.000000
980,1100,-10,10,25,1350,2535,1350,0.000000
980,1100,-10,10,25,1350,2535,1350,0.000000
970,1110,-10,10,25,1350,2535,1350,0.000000
970,1110,-10,10,25,1350,2535,1350,0.000000
960,1120,-10,10,25,1350,2535,1350,0.000000
960,1120,-10,10,25,1350,2535,1350,0.000000
950,1130,-10,10,25,1350,2535,1350,0.000000
950,1130,-10,10,25,1350,2535,1350,0.000000
940,1140,-10,10,25,1350,2535,1350,0.000000
940,1140,-10,10,25,1340,2535,1350,0.000000
930,1150,-10,10,25,1340,2535,1350,0.000000
930,1150,-10,10,25,1330,2535,1350,0.000000
920,1160,-10,10,25,1330,2535,1350,0.000000
920,1160,-10,10,25,1320,2535,1350,0.000000
910,1170,-10,10,25,1320,2535,1350,0.000000
910,1170,-10,10,25,1310,2535,1350,0.000000
900,1180,-10,10,25,1310,2535,1350,0.000000
900,1180,-10,10,25,1300,2535,1350,0.000000
890,1190,-10,10,25,1300,2535,1350,0.000000
890,1190,-10,10,25,1290,2535,1350,0.000000
880,1200,-10,10,25,1290,2535,1350,0.000000
880,1200,-10,10,25,1280,2535,1350,0.000000
870,1210,-10,10,25,1280,2535,1350,0.000000
870,1210,-10,10,25,1270,2535,1350,0.000000
860,1220,-10,10,25,1270,2535,1350,0.000000
860,1220,-10,10,25,1260,2535,1350,0.000000
850,1230,-10,10,25,1260,2535,1350,0.000000
850,1230,-10,10,25,1250,2535,1350,0.000000
840,1240,-10,10,25,1250,2535,1350,0.000000
840,1240,-10,10,25,1240,2535,1350,0.000000
830,1250,-10,10,25,1240,2535,1350,0.000000
830,1250,-10,10,25,1230,2535,1350,0.000000
820,1260,-10,10,25,1230,2535,1350,0.000000
820,1260,-10,10,25,1220,2535,1350,0.000000
810,1270,-10,10,25,1220,2535,1350,0.000000
810,1270,-10,10,25,1210,2535,1350,0.000000
800,1280,-10,10,25,1210,2535,1350,0.000000
800,1280,-10,10,25,1200,2535,1350,0.000000
790,1290,-10,10,25,1200,2535,1350,0.000000
790,1290,-10,10,25,1190,2535,1350,0.000000
780,1300,-10,10,25,1190,2535,1350,0.000000
780,1300,-10,10,25,1180,2535,1350,0.000000
770,1310,-10,10,25,1180,2535,1350,0.000000
770,1310,-10,10,25,1170,2535,1350,0.000000
760,1320,-10,10,25,1170,2535,1350,0.000000
760,1320,-10,10,25,1160,2535,1350,0.000000
750,1330,-10,10,25,1160,2535,1350,0.000000
750,1330,-10,10,25,1150,2535,1350,0.000000
740,1340,-10,10,25,1150,2535,1350,0.000000
740,1340,-10,10,25,1140,2535,1350,0.000000
730,1350,-10,10,25,1140,2535,1350,0.000000
730,1350,-10,10,25,1130,2535,1350,0.000000
720,1360,-10,10,25,1130,2535,1350,0.000000
720,1360,-10,10,25,1120,2535,1350,0.000000
710,1370,-10,10,25,1120,2535,1350,0.000000
710,1370,-10,10,25,1110,2535,1350,0.000000
700,1380,-10,10,25,1110,2535,1350,0.000000
700,1380,-10,10,25,1100,2535,1350,0.000000
690,1390,-10,10,25,1100,2535,1350,0.000000
690,1390,-10,10,25,1090,2535,1350,0.000000
680,1400,-10,10,25,1090,2535,1350,0.000000
680,1400,-10,10,25,1080,2535,1350,0.000000
670,1410,-10,10,25,1080,2535,1350,0.000000
670,1410,-10,10,25,1070,2535,1350,0.000000
660,1420,-10,10,25,1070,2535,1350,0.000000
660,1420,-10,10,25,1060,2535,1350,0.000000
650,1430,-10,10,25,1060,2535,1350,0.000000
650,1430,-10,10,25,1050,2535,1350,0.000000
640,1440,-10,10,25,1050,2535,1350,0.000000
640,1440,-10,10,25,1040,2535,1350,0.000000
630,1450,-10,10,25,1040,2535,1350,0.000000
630,1450,-10,10,25,1030,2535,1350,0.000000
620,1460,-10,10,25,1030,2535,1350,0.000000
620,1460,-10,10,25,1020,2535,1350,0.000000
610,1470,-10,10,25,1020,2535,1350,0.000000
610,1470,-10,10,25,1010,2535,1350,0.000000
600,1480,-10,10,25,1010,2535,1350,0.000000
600,1480,-10,10,25,1000,2535,1350,0.000000
590,1490,-10,10,25,1000,2535,1350,0.000000
590,1490,-10,10,25,990,2535,1350,0.000000
580,1500,-10,10,25,990,2535,1350,0.000000
580,1500,-10,10,25,980,2535,1350,0.000000
570,1510,-10,10,25,980,2535,1350,0.000000
570,1510,-10,10,25,970,2535,1350,0.000000
560,1520,-10,10,25,970,2535,1350,0.000000
560,1520,-10,10,25,960,2535,1350,0.000000
550,1530,-10,10,25,960,2535,1350,0.000000
550,1530,-10,10,25,950,2535,1350,0.000000
540,1510,-10,-10,25,950,2535,1350,0.000000
540,1510,-10,-10,25,950,2535,1350,0.000000
530,1500,-10,-10,25,950,2535,1350,0.000000
530,1500,-10,-10,25,950,2535,1350,0.000000
520,1490,-10,-10,25,950,2535,1350,0.000000
520,1490,-10,-10,25,950,2535,1350,0.000000
510,1480,-10,-10,25,950,2535,1350,0.000000
510,1480,-10,-10,25,950,2535,1350,0.000000
500,1470,-10,-10,25,950,2535,1350,0.000000
500,1470,-10,-10,25,950,2535,1350,0.000000
490,1460,-10,-10,25,950,2535,1350,0.000000
490,1460,-10,-10,25,950,2535,1350,0.000000
480,1450,-10,-10,25,950,2535,1350,0.000000
480,1450,-10,-10,25,950,2535,1350,0.000000
470,1440,-10,-10,25,950,2535,1350,0.000000
470,1440,-10,-10,25,950,2535,1350,0.000000
460,1430,-10,-10,25,950,2535,1350,0.000000
460,1430,-10,-10,25,950,2535,1350,0.000000
450,1420,-10,-10,25,950,2535,1350,0.000000
450,1420,-10,-10,25,950,2535,1350,0.000000
440,1410,-10,-10,25,950,2535,1350,0.000000
440,1410,-10,-10,25,950,2535,1350,0.000000
430,1400,-10,-10,25,950,2535,1350,0.000000
430,1400,-10,-10,25,950,2535,1350,0.000000
420,1390,-10,-10,25,950,2535,1350,0.000000
420,1390,-10,-10,25,950,2535,1350,0.000000
410,1380,-10,-10,25,950,2535,1350,0.000000
410,1380,-10,-10,25,950,2535,1350,0.000000
400,1370,-10,-10,25,950,2535,1350,0.000000
400,1370,-10,-10,25,950,2535,1350,0.000000
390,1360,-10,-10,25,950,2535,1350,0.000000
390,1360,-10,-10,25,950,2535,1350,0.000000
380,1350,-10,-10,25,950,2535,1350,0.000000
380,1350,-10,-10,25,950,2535,1350,0.000000
370,1340,-10,-10,25,950,2535,1350,0.000000
370,1340,-10,-10,25,950,2535,1350,0.000000
360,1330,-10,-10,25,950,2535,1350,0.000000
360,1330,-10,-10,25,950,2535,1350,0.000000
350,1320,-10,-10,25,950,2535,1350,0.000000
350,1320,-10,-10,25,950,2535,1350,0.000000
340,1310,-10,-10,25,950,2535,1350,0.000000
340,1310,-10,-10,25,950,2535,1350,0.000000
330,1300,-10,-10,25,950,2535,1350,0.000000
330,1300,-10,-10,25,950,2535,1350,0.000000
320,1290,-10,-10,25,950,2535,1350,0.000000
320,1290,-10,-10,25,950,2535,1350,0.000000
310,1280,-10,-10,25,950,2535,1350,0.000000
310,1280,-10,-10,25,950,2535,1350,0.000000
300,1270,-10,-10,25,950,2535,1350,0.000000
300,1270,-10,-10,25,950,2535,1350,0.000000
290,1260,-10,-10,25,950,2535,1350,0.000000
290,1260,-10,-10,25,950,2535,1350,0.000000
280,1250,-10,-10,25,950,2535,1350,0.000000
280,1250,-10,-10,25,950,2535,1350,0.000000
270,1240,-10,-10,25,950,2535,1350,0.000000
270,1240,-10,-10,25,950,2535,1350,0.000000
260,1230,-10,-10,25,950,2535,1350,0.000000
260,1230,-10,-10,25,950,2535,1350,0.000000
250,1220,-10,-10,25,950,2535,1350,0.000000
250,1220,-10,-10,25,950,2535,1350,0.000000
240,1210,-10,-10,25,950,2535,1350,0.000000
240,1210,-10,-10,25,950,2535,1350,0.000000
230,1200,-10,-10,25,950,2535,1350,0.000000
230,1200,-10,-10,25,950,2535,1350,0.000000
220,1190,-10,-10,25,950,2535,1350,0.000000
220,1190,-10,-10,25,950,2535,1350,0.000000
210,1180,-10,-10,25,950,2535,1350,0.000000
210,1180,-10,-10,25,950,2535,1350,0.000000
200,1170,-10,-10,25,950,2535,1350,0.000000
200,1170,-10,-10,25,950,2535,1350,0.000000
190,1160,-10,-10,25,950,2535,1350,0.000000
190,1160,-10,-10,25,950,2535,1350,0.000000
180,1150,-10,-10,25,950,2535,1350,0.000000
180,1150,-10,-10,25,950,2535,1350,0.000000
170,1140,-10,-10,25,950,2535,1350,0.000000
170,1140,-10,-10,25,950,2535,1350,0.000000
160,1130,-10,-10,25,950,2535,1350,0.000000
160,1130,-10,-10,25,950,2535,1350,0.000000
150,1120,-10,-10,25,950,2535,1350,0.000000
150,1120,-10,-10,25,950,2535,1350,0.000000
140,1110,-10,-10,25,950,2535,1350,0.000000
140,1110,-10,-10,25,950,2535,1350,0.000000
130,1100,-10,-10,25,950,2535,1350,0.000000
130,1100,-10,-10,25,950,2535,1350,0.000000
120,1090,-10,-10,25,950,2535,1350,0.000000
120,1090,-10,-10,25,960,2535,1350,0.000000
110,1080,-10,-10,25,960,2535,1350,0.000000
110,1080,-10,-10,25,970,2535,1350,0.000000
100,1070,-10,-10,25,970,2535,1350,0.000000
100,1070,-10,-10,25,980,2535,1350,0.000000
90,1060,-10,-10,25,980,2535,1350,0.000000
90,1060,-10,-10,25,990,2535,1350,0.000000
80,1050,-10,-10,25,990,2535,1350,0.000000
80,1050,-10,-10,25,1000,2535,1350,0.000000
70,1040,-10,-10,25,1000,2535,1350,0.000000
70,1040,-10,-10,25,1010,2535,1350,0.000000
60,1030,-10,-10,25,1010,2535,1350,0.000000
60,1030,-10,-10,25,1020,2535,1350,0.000000
50,1020,-10,-10,25,1020,2535,1350,0.000000
50,1020,-10,-10,25,1030,2535,1350,0.000000
40,1010,-10,-10,25,1030,2535,1350,0.000000
40,1010,-10,-10,25,1040,2535,1350,0.000000
60,1000,10,-10,25,1040,2535,1350,0.000000
60,1000,10,-10,25,1050,2535,1350,0.000000
70,990,10,-10,25,1050,2535,1350,0.000000
70,990,10,-10,25,1060,2535,1350,0.000000
80,980,10,-10,25,1060,2535,1350,0.000000
80,980,10,-10,25,1070,2535,1350,0.000000
90,970,10,-10,25,1070,2535,1350,0.000000
90,970,10,-10,25,1080,2535,1350,0.000000
100,960,10,-10,25,1080,2535,1350,0.000000
100,960,10,-10,25,1090,2535,1350,0.000000
110,950,10,-10,25,1090,2535,1350,0.000000
110,950,10,-10,25,1100,2535,1350,0.000000
120,940,10,-10,25,1100,2535,1350,0.000000
120,940,10,-10,25,1110,2535,1350,0.000000
130,930,10,-10,25,1110,2535,1350,0.000000
130,930,10,-10,25,1120,2535,1350,0.000000
140,920,10,-10,25,1120,2535,1350,0.000000
140,920,10,-10,25,1130,2535,1350,0.000000
150,910,10,-10,25,1130,2535,1350,0.000000
150,910,10,-10,25,1140,2535,1350,0.000000
160,900,10,-10,25,1140,2535,1350,0.000000
160,900,10,-10,25,1150,2535,1350,0.000000
170,890,10,-10,25,1150,2535,1350,0.000000
170,890,10,-10,25,1160,2535,1350,0.000000
180,880,10,-10,25,1160,2535,1350,0.000000
180,880,10,-10,25,1170,2535,1350,0.000000
190,870,10,-10,25,1170,2535,1350,0.000000
190,870,10,-10,25,1180,2535,1350,0.000000
200,860,10,-10,25,1180,2535,1350,0.000000
200,860,10,-10,25,1190,2535,1350,0.000000
210,850,10,-10,25,1190,2535,1350,0.000000
210,850,10,-10,25,1200,2535,1350,0.000000
220,840,10,-10,25,1200,2535,1350,0.000000
220,840,10,-10,25,1210,2535,1350,0.000000
230,830,10,-10,25,1210,2535,1350,0.000000
230,830,10,-10,25,1220,2535,1350,0.000000
240,820,10,-10,25,1220,2535,1350,0.000000
240,820,10,-10,25,1230,2535,1350,0.000000
250,810,10,-10,25,1230,2535,1350,0.000000
250,810,10,-10,25,1240,2535,1350,0.000000
260,800,10,-10,25,1240,2535,1350,0.000000
260,800,10,-10,25,1250,2535,1350,0.000000
270,790,10,-10,25,1250,2535,1350,0.000000
270,790,10,-10,25,1260,2535,1350,0.000000
280,780,10,-10,25,1260,2535,1350,0.000000
280,780,10,-10,25,1270,2535,1350,0.000000
290,770,10,-10,25,1270,2535,1350,0.000000
290,770,10,-10,25,1270,2535,1350,0.000000
300,760,10,-10,25,1270,2535,1350,0.000000
300,760,10,-10,25,1270,2535,1350,0.000000
310,750,10,-10,25,1270,2535,1350,0.000000
310,750,10,-10,25,1270,2535,1350,0.000000
320,740,10,-10,25,1270,2535,1350,0.000000
320,740,10,-10,25,1270,2535,1350,0.000000
330,730,10,-10,25,1270,2535,1350,0.000000
330,730,10,-10,25,1270,2535,1350,0.000000
340,720,10,-10,25,1270,2535,1350,0.000000
340,720,10,-10,25,1270,2535,1350,0.000000
350,710,10,-10,25,1270,2535,1350,0.000000
350,710,10,-10,25,1270,2535,1350,0.000000
360,700,10,-10,25,1270,2535,1350,0.000000
360,700,10,-10,25,1270,2535,1350,0.000000
370,690,10,-10,25,1270,2535,1350,0.000000
370,690,10,-10,25,1270,2535,1350,0.000000
380,680,10,-10,25,1270,2535,1350,0.000000
380,680,10,-10,25,1270,2535,1350,0.000000
390,670,10,-10,25,1270,2535,1350,0.000000
390,670,10,-10,25,1270,2535,1350,0.000000
400,660,10,-10,25,1270,2535,1350,0.000000
400,660,10,-10,25,1270,2535,1350,0.000000
410,650,10,-10,25,1270,2535,1350,0.000000
410,650,10,-10,25,1270,2535,1350,0.000000
420,640,10,-10,25,1270,2535,1350,0.000000
420,640,10,-10,25,1270,2535,1350,0.000000
430,630,10,-10,25,1270,2535,1350,0.000000
430,630,10,-10,25,1270,2535,1350,0.000000
440,620,10,-10,25,1270,2535,1350,0.000000
440,620,10,-10,25,1270,2535,1350,0.000000
450,610,10,-10,25,1270,2535,1350,0.000000
450,610,10,-10,25,1270,2535,1350,0.000000
460,600,10,-10,25,1270,2535,1350,0.000000
460,600,10,-10,25,1270,2535,1350,0.000000
470,590,10,-10,25,1270,2535,1350,0.000000
470,590,10,-10,25,1270,2535,1350,0.000000
480,580,10,-10,25,1270,2535,1350,0.000000
480,580,10,-10,25,1270,2535,1350,0.000000
490,570,10,-10,25,1270,2535,1350,0.000000
490,570,10,-10,25,1270,2535,1350,0.000000
500,560,10,-10,25,1270,2535,1350,0.000000
500,560,10,-10,25,1270,2535,1350,0.000000
510,550,10,-10,25,1270,2535,1350,0.000000
510,550,10,-10,25,1270,2535,1350,0.000000
520,540,10,-10,25,1270,2535,1350,0.000000
520,540,10,-10,25,1270,2535,1350,0.000000
530,530,10,-10,25,1270,2535,1350,0.000000
530,530,10,-10,25,1270,2535,1350,0.000000
540,520,10,-10,25,1270,2535,1350,0.000000
540,520,10,-10,25,1270,2535,1350,0.000000
550,510,10,-10,25,1270,2535,1350,0.000000
550,510,10,-10,25,1270,2535,1350,0.000000
560,500,10,-10,25,1270,2535,1350,0.000000
560,500,10,-10,25,1270,2535,1350,0.000000
570,490,10,-10,25,1270,2535,1350,0.000000
570,490,10,-10,25,1270,2535,1350,0.000000
580,480,10,-10,25,1270,2535,1350,0.000000
580,480,10,-10,25,1270,2535,1350,0.000000
590,470,10,-10,25,1270,2535,1350,0.000000
590,470,10,-10,25,1270,2535,1350,0.000000
600,460,10,-10,25,1270,2535,1350,0.000000
600,460,10,-10,25,1270,2535,1350,0.000000
610,450,10,-10,25,1270,2535,1350,0.000000
610,450,10,-10,25,1270,2535,1350,0.000000
620,440,10,-10,25,1270,2535,1350,0.000000
620,440,10,-10,25,1270,2535,1350,0.000000
630,430,10,-10,25,1270,2535,1350,0.000000
630,430,10,-10,25,1270,2535,1350,0.000000
640,420,10,-10,25,1270,2535,1350,0.000000
640,420,10,-10,25,1270,2535,1350,0.000000
650,410,10,-10,25,1270,2535,1350,0.000000
650,410,10,-10,25,1270,2535,1350,0.000000
660,400,10,-10,25,1270,2535,1350,0.000000
660,400,10,-10,25,1270,2535,1350,0.000000
670,390,10,-10,25,1270,2535,1350,0.000000
670,390,10,-10,25,1270,2535,1350,0.000000
680,380,10,-10,25,1270,2535,1350,0.000000
680,380,10,-10,25,1270,2535,1350,0.000000
690,370,10,-10,25,1270,2535,1350,0.000000
690,370,10,-10,25,1270,2535,1350,0.000000
700,360,10,-10,25,1270,2535,1350,0.000000
700,360,10,-10,25,1270,2535,1350,0.000000
710,350,10,-10,25,1270,2535,1350,0.000000
710,350,10,-10,25,1270,2535,1350,0.000000
720,340,10,-10,25,1270,2535,1350,0.000000
720,340,10,-10,25,1270,2535,1350,0.000000
730,330,10,-10,25,1270,2535,1350,0.000000
730,330,10,-10,25,1270,2535,1350,0.000000
740,320,10,-10,25,1270,2535,1350,0.000000
740,320,10,-10,25,1270,2535,1350,0.000000
750,310,10,-10,25,1270,2535,1350,0.000000
750,310,10,-10,25,1270,2535,1350,0.000000
760,300,10,-10,25,1270,2535,1350,0.000000
760,300,10,-10,25,1270,2535,1350,0.000000
770,290,10,-10,25,1270,2535,1350,0.000000
770,290,10,-10,25,1270,2535,1350,0.000000
780,280,10,-10,25,1270,2535,1350,0.000000
780,280,10,-10,25,1270,2535,1350,0.000000
790,270,10,-10,25,1270,2535,1350,0.000000
790,270,10,-10,25,1270,2535,1350,0.000000
800,260,10,-10,25,1270,2535,1350,0.000000
800,260,10,-10,25,1270,2535,1350,0.000000
810,250,10,-10,25,1270,2535,1350,0.000000
810,250,10,-10,25,1270,2535,1350,0.000000
820,240,10,-10,25,1270,2535,1350,0.000000
820,240,10,-10,25,1270,2535,1350,0.000000
830,230,10,-10,25,1270,2535,1350,0.000000
830,230,10,-10,25,1270,2535,1350,0.000000
840,220,10,-10,25,1270,2535,1350,0.000000
840,220,10,-10,25,1270,2535,1350,0.000000
850,210,10,-10,25,1270,2535,1350,0.000000
850,210,10,-10,25,1270,2535,1350,0.000000
860,200,10,-10,25,1270,2535,1350,0.000000
860,200,10,-10,25,1270,2535,1350,0.000000
870,190,10,-10,25,1270,2535,1350,0.000000
870,190,10,-10,25,1270,2535,1350,0.000000
880,180,10,-10,25,1270,2535,1350,0.000000
880,180,10,-10,25,1270,2535,1350,0.000000
890,170,10,-10,25,1270,2535,1350,0.000000
890,170,10,-10,25,1270,2535,1350,0.000000
900,160,10,-10,25,1270,2535,1350,0.000000
900,160,10,-10,25,1270,2535,1350,0.000000
910,150,10,-10,25,1270,2535,1350,0.000000
910,150,10,-10,25,1270,2535,1350,0.000000
920,140,10,-10,25,1270,2535,1350,0.000000
920,140,10,-10,25,1270,2535,1350,0.000000
930,130,10,-10,25,1270,2535,1350,0.000000
930,130,10,-10,25,1270,2535,1350,0.000000
940,120,10,-10,25,1270,2535,1350,0.000000
940,120,10,-10,25,1270,2535,1350,0.000000
950,110,10,-10,25,1270,2535,1350,0.000000
950,110,10,-10,25,1270,2535,1350,0.000000
960,100,10,-10,25,1270,2535,1350,0.000000
960,100,10,-10,25,1270,2535,1350,0.000000
970,90,10,-10,25,1270,2535,1350,0.000000
970,90,10,-10,25,1270,2535,1350,0.000000
980,80,10,-10,25,1270,2535,1350,0.000000
980,80,10,-10,25,1270,2535,1350,0.000000
990,70,10,-10,25,1270,2535,1350,0.000000
990,70,10,-10,25,1270,2535,1350,0.000000
1000,90,10,10,25,1270,2535,1350,0.000000
1000,90,10,10,25,1270,2535,1350,0.000000
1010,100,10,10,25,1270,2535,1350,0.000000
1010,100,10,10,25,1270,2535,1350,0.000000
1020,110,10,10,25,1270,2535,1350,0.000000
1020,110,10,10,25,1270,2535,1350,0.000000
1030,120,10,10,25,1270,2535,1350,0.000000
1030,120,10,10,25,1270,2535,1350,0.000000
1040,130,10,10,25,1270,2535,1350,0.000000
1040,130,10,10,25,1270,2535,1350,0.000000
1050,140,10,10,25,1270,2535,1350,0.000000
1050,140,10,10,25,1270,2535,1350,0.000000
1060,150,10,10,25,1270,2535,1350,0.000000
1060,150,10,10,25,1270,2535,1350,0.000000
1070,160,10,10,25,1270,2535,1350,0.000000
1070,160,10,10,25,1270,2535,1350,0.000000
1080,170,10,10,25,1270,2535,1350,0.000000
1080,170,10,10,25,1270,2535,1350,0.000000
1090,180,10,10,25,1270,2535,1350,0.000000
1090,180,10,10,25,1270,2535,1350,0.000000
1100,190,10,10,25,1270,2535,1350,0.000000
1100,190,10,10,25,1270,2535,1350,0.000000
1110,200,10,10,25,1270,2535,1350,0.000000
1110,200,10,10,25,1270,2535,1350,0.000000
1120,210,10,10,25,1270,2535,1350,0.000000
1120,210,10,10,25,1270,2535,1350,0.000000
1130,220,10,10,25,1270,2535,1350,0.000000
1130,220,10,10,25,1270,2535,1350,0.000000
1140,230,10,10,25,1270,2535,1350,0.000000
1140,230,10,10,25,1270,2535,1350,0.000000
1150,240,10,10,25,1270,2535,1350,0.000000
1150,240,10,10,25,1270,2535,1350,0.000000
1160,250,10,10,25,1270,2535,1350,0.000000
1160,250,10,10,25,1270,2535,1350,0.000000
1170,260,10,10,25,1270,2535,1350,0.000000
1170,260,10,10,25,1270,2535,1350,0.000000
1180,270,10,10,25,1270,2535,1350,0.000000
1180,270,10,10,25,1270,2535,1350,0.000000
1190,280,10,10,25,1270,2535,1350,0.000000
1190,280,10,10,25,1270,2535,1350,0.000000
1200,290,10,10,25,1270,2535,1350,0.000000
1200,290,10,10,25,1270,2535,1350,0.000000
1210,300,10,10,25,1270,2535,1350,0.000000
1210,300,10,10,25,1270,2535,1350,0.000000
1220,310,10,10,25,1270,2535,1350,0.000000
1220,310,10,10,25,1270,2535,1350,0.000000
1230,320,10,10,25,1270,2535,1350,0.000000
1230,320,10,10,25,1270,2535,1350,0.000000
1240,330,10,10,25,1270,2535,1350,0.000000
1240,330,10,10,25,1270,2535,1350,0.000000
1250,340,10,10,25,1270,2535,1350,0.000000
1250,340,10,10,25,1270,2535,1350,0.000000
1260,350,10,10,25,1270,2535,1350,0.000000
1260,350,10,10,25,1270,2535,1350,0.000000
1270,360,10,10,25,1270,2535,1350,0.000000
1270,360,10,10,25,1270,2535,1350,0.000000
1280,370,10,10,25,1270,2535,1350,0.000000
1280,370,10,10,25,1270,2535,1350,0.000000
1290,380,10,10,25,1270,2535,1350,0.000000
1290,380,10,10,25,1270,2535,1350,0.000000
1300,390,10,10,25,1270,2535,1350,0.000000
1300,390,10,10,25,1270,2535,1350,0.000000
1310,400,10,10,25,1270,2535,1350,0.000000
1310,400,10,10,25,1270,2535,1350,0.000000
1320,410,10,10,25,1270,2535,1350,0.000000
1320,410,10,10,25,1270,2535,1350,0.000000
1330,420,10,10,25,1270,2535,1350,0.000000
1330,420,10,10,25,1270,2535,1350,0.000000
1340,430,10,10,25,1270,2535,1350,0.000000
1340,430,10,10,25,1270,2535,1350,0.000000
1350,440,10,10,25,1270,2535,1350,0.000000
1350,440,10,10,25,1270,2535,1350,0.000000
1360,450,10,10,25,1270,2535,1350,0.000000
1360,450,10,10,25,1270,2535,1350,0.000000
1370,460,10,10,25,1270,2535,1350,0.000000
1370,460,10,10,25,1270,2535,1350,0.000000
1380,470,10,10,25,1270,2535,1350,0.000000
1380,470,10,10,25,1270,2535,1350,0.000000
1390,480,10,10,25,1270,2535,1350,0.000000
1390,480,10,10,25,1270,2535,1350,0.000000
1400,490,10,10,25,1270,2535,1350,0.000000
1400,490,10,10,25,1270,2535,1350,0.000000
1410,500,10,10,25,1270,2535,1350,0.000000
1410,500,10,10,25,1270,2535,1350,0.000000
1420,510,10,10,25,1270,2535,1350,0.000000
1420,510,10,10,25,1270,2535,1350,0.000000
1430,520,10,10,25,1270,2535,1350,0.000000
1430,520,10,10,25,1270,2535,1350,0.000000
1440,530,10,10,25,1270,2535,1350,0.000000
1440,530,10,10,25,1270,2535,1350,0.000000
1450,540,10,10,25,1270,2535,1350,0.000000
1450,540,10,10,25,1270,2535,1350,0.000000
1460,550,10,10,25,1270,2535,1350,0.000000
1460,550,10,10,25,1270,2535,1350,0.000000
1470,560,10,10,25,1270,2535,1350,0.000000
1470,560,10,10,25,1270,2535,1350,0.000000
1480,570,10,10,25,1270,2535,1350,0.000000
1480,570,10,10,25,1270,2535,1350,0.000000
1490,580,10,10,25,1270,2535,1350,0.000000
1490,580,10,10,25,1270,2535,1350,0.000000
1500,590,10,10,25,1270,2535,1350,0.000000
1500,590,10,10,25,1270,2535,1350,0.000000
1510,600,10,10,25,1270,2535,1350,0.000000
1510,600,10,10,25,1270,2535,1350,0.000000
1520,610,10,10,25,1270,2535,1350,0.000000
1520,610,10,10,25,1270,2535,1350,0.000000
1530,620,10,10,25,1270,2535,1350,0.000000
1530,620,10,10,25,1270,2535,1350,0.000000
1540,630,10,10,25,1270,2535,1350,0.000000
1540,630,10,10,25,1270,2535,1350,0.000000
1550,640,10,10,25,1270,2535,1350,0.000000
1550,640,10,10,25,1270,2535,1350,0.000000
1560,650,10,10,25,1270,2535,1350,0.000000
1560,650,10,10,25,1270,2535,1350,0.000000
1570,660,10,10,25,1270,2535,1350,0.000000
1570,660,10,10,25,1270,2535,1350,0.000000
1580,670,10,10,25,1270,2535,1350,0.000000
1580,670,10,10,25,1270,2535,1350,0.000000
1590,680,10,10,25,1270,2535,1350,0.000000
1590,680,10,10,25,1270,2535,1350,0.000000
1600,690,10,10,25,1270,2535,1350,0.000000
1600,690,10,10,25,1270,2535,1350,0.000000
1610,700,10,10,25,1270,2535,1350,0.000000
1610,700,10,10,25,1270,2535,1350,0.000000
1620,710,10,10,25,1270,2535,1350,0.000000
1620,710,10,10,25,1270,2535,1350,0.000000
1630,720,10,10,25,1270,2535,1350,0.000000
1630,720,10,10,25,1270,2535,1350,0.000000
1640,730,10,10,25,1270,2535,1350,0.000000
1640,730,10,10,25,1270,2535,1350,0.000000
1650,740,10,10,25,1270,2535,1350,0.000000
1650,740,10,10,25,1270,2535,1350,0.000000
1660,750,10,10,25,1270,2535,1350,0.000000
1660,750,10,10,25,1270,2535,1350,0.000000
1670,760,10,10,25,1270,2535,1350,0.000000
1670,760,10,10,25,1270,2535,1350,0.000000
1680,770,10,10,25,1270,2535,1350,0.000000
1680,770,10,10,25,1270,2535,1350,0.000000
1690,780,10,10,25,1270,2535,1350,0.000000
1690,780,10,10,25,1270,2535,1350,0.000000
1700,790,10,10,25,1270,2535,1350,0.000000
1700,790,10,10,25,1270,2535,1350,0.000000
1710,800,10,10,25,1270,2535,1350,0.000000
1710,800,10,10,25,1270,2535,1350,0.000000
1720,810,10,10,25,1270,2535,1350,0.000000
1720,810,10,10,25,1270,2535,1350,0.000000
1730,820,10,10,25,1270,2535,1350,0.000000
1730,820,10,10,25,1270,2535,1350,0.000000
1740,830,10,10,25,1270,2535,1350,0.000000
1740,830,10,10,25,1270,2535,1350,0.000000
1750,840,10,10,25,1270,2535,1350,0.000000
1750,840,10,10,25,1270,2535,1350,0.000000
1760,850,10,10,25,1270,2535,1350,0.000000
1760,850,10,10,25,1270,2535,1350,0.000000
1770,860,10,10,25,1270,2535,1350,0.000000
1770,860,10,10,25,1270,2535,1350,0.000000
1780,870,10,10,25,1270,2535,1350,0.000000
1780,870,10,10,25,1270,2535,1350,0.000000
1790,880,10,10,25,1270,2535,1350,0.000000
1790,880,10,10,25,1270,2535,1350,0.000000
1800,890,10,10,25,1270,2535,1350,0.000000
1800,890,10,10,25,1270,2535,1350,0.000000
1810,900,10,10,25,1270,2535,1350,0.000000
1810,900,10,10,25,1270,2535,1350,0.000000
